dominio,funcao,proposito,tipo_trigger,verify_jwt,chamadores,tabelas_supabase,env_vars,apis_externas,suspeita_morta,desativada_410
Backfills,backfill-crm-activities,Backfill de atividades CRM (manual),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Backfills,rayshape-fix-placeholder-leads,Correção pontual de leads placeholder (Rayshape),http,true(default),(NENHUM chamador encontrado),"lead_enrichment_audit, lia_attendances","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Backfills,smart-ops-activity-identity-backfill,Backfill de identidade de atividades SmartOps,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Backfills,smart-ops-csv-vendas-backfill,One-off: resolve leads de CSV a lia_attendances canônico e abre deal em Vendas,http,true(default),(NENHUM chamador encontrado),"_csv_leads_check, deals, lia_attendances, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Campanhas/Email,email-track-open,Pixel 1x1 de tracking de abertura de e-mail,webhook,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),campaign_send_log,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Campanhas/Email/SMS,smart-ops-email-scheduler-tick,"Dispatcher round-robin de e-mail via Gmail (cron por minuto, cap diário)",cron,true(default),(NENHUM chamador encontrado),"campaign_send_log, campaigns","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Campanhas/Email/SMS,smart-ops-gmail-bounce-scan,Cron 15min: varre inbox Gmail por bounces e marca campaign_send_log,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"campaign_send_log, lia_attendances","GOOGLE_MAIL_API_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","connector-gateway.lovable.dev, esm.sh",False,False
Campanhas/Email/SMS,smart-ops-send-gmail,Envia e-mail via Gmail API,http,true(default),src: src/components/smartops/EmailCampaignWizard.tsx:111; src/components/smartops/EmailCampaignWizard.tsx:287; src/components/smartops/EmailCampaignWizard.tsx:312,"campaign_send_log, campaigns, lia_attendances, short_links, site_settings, team_members","GOOGLE_MAIL_API_KEY, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","connector-gateway.lovable.dev, esm.sh, parametros.smartdent.com.br, wa.me",False,False
Campanhas/Email/SMS,smart-ops-sequence-email-tick,Cron horário: avança régua de e-mail por audiência/step,cron,true(default),(NENHUM chamador encontrado),"campaign_send_log, email_sequence_dispatches, email_sequence_steps, email_sequences, lia_attendances","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
Campanhas/Email/SMS,smart-ops-sms-disparopro,Disparo SMS DisparoPro,http,true(default),src: src/components/SmartOpsCampaigns.tsx:1132,"campaign_send_log, campaign_sessions, campaigns, lia_attendances, message_logs, system_health_logs","DISPARO_PRO_PARCEIRO_ID, DISPARO_PRO_SERVICO, DISPARO_PRO_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","apihttp.disparopro.com.br, esm.sh, sistema.disparopro.com.br",False,False
